1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
144.2,132.3,154.1,146.2,130.4,115.5,111.1,120.3,108,116.2,94.8,117,106.7,136,129.8,134.2,124.6,129.7,136.6,130.9,146.2,140.7
5.7,12,7.1,16,6.4,7.9,19.2,15.7,13.4,20.8,18.3,7.3,8.6,18.2,16.5,16.3,13.2,17.7,10.7,13.7,12.4,13.1
57.5,55,62.4,61.9,67.4,58.7,77.4,78.7,48.5,48.9,49.9,43.3,56,49.2,42.2,44.4,46.8,42.3,50.8,60.8,55.9,48.9
44.5,46.2,58.6,47.3,49.8,44.9,64,55.4,46,65.5,57.8,55.6,61.4,48.4,50.9,54.1,75.2,69.2,51.2,50.9,57.6,54.7
92.7,110.3,139,98.8,108.9,43.6,78.6,84.9,64.2,83.6,81.2,90.3,117.3,88.4,71,93.2,94.2,91.1,124.9,76.3,80.1,72.7
146.3,97.9,102.1,178.3,194.3,233.2,259.8,134.4,114,78.4,77.2,121.7,208.9,190,165.8,96.8,105.5,116.1,198.1,209.2,163,121.9
129,70.4,62,155.3,267.1,242.4,238.9,212,153.7,61.5,39.7,109.2,255.3,342.2,237.2,110.4,61.6,82.7,276.4,281.9,250.1,138.7
44.7,37.1,28.1,43.5,40.2,32.3,34.8,35.8,33.5,32.2,32.5,28.3,28.8,39.4,34.4,39,37.6,21.7,33,46.1,41.5,37
70.6,81,93.8,100.3,97.1,60.1,61.4,90.6,68.3,62.1,63.8,68.1,78.8,76.5,80.5,74.9,70.6,67.7,73.9,78,62.8,54.8
1121.3,1104.9,1185.6,1160.2,1124,1112.9,1140.5,1076.1,1104.9,1132.7,1137.4,1183.8,1253.2,1132.2,1151.2,1089.7,1130.2,1251.1,1166.7,1115.8,1092.8,1159.4
4.6,2.3,2.2,4,10,14.6,29.3,16,4.2,7.9,4.6,7.4,7.5,16.4,15.1,2.2,12.1,9.5,4.1,21.1,9.2,7.5
105.9,106.1,111.8,106.4,96.8,187,116.7,62.3,98.4,96.7,118.4,79.7,57.8,81.9,88.7,99.5,90.2,85.7,60.5,76.8,81.5,97.8
221.5,163.4,154.5,187.9,153.2,163,139.6,169,170.4,173.2,157.6,146.8,159.7,157.8,159,169,185.4,179.5,194.9,169.4,156.7,176.6
15.9,15.9,19.9,3.4,19,1.2,7.4,10.5,8.6,6.2,13,12.5,10,15.4,6,13.4,8.9,12.6,8.9,8.1,6.2,10.9
157.5,177.6,164.2,176.3,152.3,105.3,124.8,130,130.9,141.7,150.7,137.4,136.5,105.9,139.4,159.2,180.9,160.3,144,130.8,141.5,157.7
161.6,153,162.3,175.1,164,131.9,96.6,135.8,136.3,184.7,173.7,180.5,158.6,144.1,122.1,145.5,146.7,140.5,161.4,131.7,140.4,144.1
82.3,77.9,90.1,88.2,93.8,77.1,69.3,70.3,62.5,62,69.7,85.7,73,88.8,72.3,84.6,84.4,77.1,89.6,76.7,63.6,61.4
206.1,242.5,247.1,256.3,264.7,151.8,269.4,339.1,162,268,280.5,327,280.9,229.8,275.4,357.2,379.9,364,309,283.5,314.5,327.2
118.3,135.5,97.1,123.1,89.4,104.6,161.1,117.3,125.3,117.3,126.7,108.5,137.2,132.8,139.9,155.1,128,135,147.7,143.5,164.5,160.1
19,15.5,19.2,17.2,11.2,19.3,17,20.1,17.3,17.7,27,19.8,23.3,16,24.2,24.3,23.4,23.2,22.7,19.2,18.1,21.4
115.1,137.2,106.5,114.9,123.1,80.7,94,90,102.2,111.1,113.7,123.4,131.2,140.4,106.6,115.8,118.2,129.8,118.7,121,133.7,122.8
155.6,127.4,122,131.8,134.9,84.3,130,145.3,107,97.1,70.8,75.9,96.5,107.2,98.6,97,98.4,79,91.8,103.3,100.5,109.4
14.8,4.5,3.2,4.9,27.7,95.7,46.9,22.3,28.6,2.2,3.1,2.6,12.5,4,16.2,4.1,8.3,6.3,12.8,17.9,10.7,2.4
41.5,34.7,30.5,41.5,42.6,31.5,32.2,37.6,33.7,32.3,31,28.8,34.6,37.7,27.8,33.5,29,25.2,33.8,40.2,36.5,33
8.9,10.7,17,11,17.7,3.6,2.2,4.3,7.5,16.8,8.2,10.4,11.3,7.4,14.4,12.8,14.3,12.8,9.4,7.8,13.6,12.4
408.7,383.6,374.2,416.2,362.3,283.8,346,531.4,416.1,479.4,378.8,360.1,327.9,387,380.3,324.3,316.6,371.3,421.8,327.3,334.7,368.6
